State,Year,Severity1Count,Severity2Count,Severity3Count,Severity4Count,TotalAccidentCount
AL,2016,0,74,25,36,135
AL,2017,3,1310,1458,133,2904
AL,2018,10,8371,5564,155,14100
AL,2019,6,14161,4881,190,19238
AL,2020,114,15870,3916,285,20185
AL,2021,3,19396,3622,489,23510
AL,2022,545,16924,2076,509,20054
AL,2023,0,887,0,31,918
AR,2016,0,17,4,5,26
AR,2017,0,46,35,53,134
AR,2018,0,241,162,195,598
AR,2019,0,556,238,197,991
AR,2020,11,2705,91,283,3090
AR,2021,0,6552,55,777,7384
AR,2022,26,8154,92,1160,9432
AR,2023,0,968,0,157,1125
AZ,2016,0,1944,357,469,2770
AZ,2017,7,9053,2413,856,12329
AZ,2018,8,16760,5079,859,22706
AZ,2019,6,19496,4152,875,24529
AZ,2020,6702,19875,2225,733,29535
AZ,2021,3,30470,2118,484,33075
AZ,2022,663,36842,1207,711,39423
AZ,2023,0,6113,0,129,6242
CA,2016,99,86963,52179,1211,140452
CA,2017,88,93223,57829,1608,152748
CA,2018,41,96868,58392,1597,156898
CA,2019,18,168661,42796,1980,213455
CA,2020,5562,251646,25847,2477,285532
CA,2021,19,318194,22396,1267,341876
CA,2022,4457,355953,12375,3128,375913
CA,2023,0,74325,0,234,74559
CO,2016,0,701,214,409,1324
CO,2017,2,4455,1955,693,7105
CO,2018,1,8127,5216,805,14149
CO,2019,2,7983,8355,1280,17620
CO,2020,516,6701,5859,813,13889
CO,2021,1,7818,2947,810,11576
CO,2022,448,16497,1760,2225,20930
CO,2023,0,3823,0,469,4292
CT,2016,7,2108,1760,335,4210
CT,2017,4,3096,3150,492,6742
CT,2018,4,2850,3115,452,6421
CT,2019,2,2616,2436,403,5457
CT,2020,5,6413,2134,789,9341
CT,2021,0,13235,2279,658,16172
CT,2022,50,17730,1495,896,20171
CT,2023,0,2344,0,147,2491
DC,2016,0,263,133,58,454
DC,2017,0,458,234,71,763
DC,2018,0,552,270,133,955
DC,2019,1,1114,231,141,1487
DC,2020,43,2034,250,305,2632
DC,2021,0,4601,38,46,4685
DC,2022,99,6776,21,63,6959
DC,2023,0,691,0,4,695
DE,2016,0,111,67,103,281
DE,2017,0,642,85,164,891
DE,2018,2,1318,156,168,1644
DE,2019,1,1388,92,139,1620
DE,2020,8,1917,262,291,2478
DE,2021,0,3616,31,294,3941
DE,2022,223,2473,22,370,3088
DE,2023,0,131,0,23,154
FL,2016,15,26076,10187,782,37060
FL,2017,25,40071,19071,1539,60706
FL,2018,16,40010,23665,2090,65781
FL,2019,15,38558,18719,3021,60313
FL,2020,2951,109620,15560,2231,130362
FL,2021,11,227755,11274,1568,240608
FL,2022,4050,251875,5589,1605,263119
FL,2023,0,21930,0,313,22243
GA,2016,5,5146,7291,807,13249
GA,2017,9,8319,12143,1600,22071
GA,2018,6,10008,12630,1988,24632
GA,2019,7,11155,10347,2209,23718
GA,2020,381,13082,8219,1745,23427
GA,2021,3,12819,6660,1069,20551
GA,2022,596,25969,3955,2609,33129
GA,2023,0,7708,0,749,8457
IA,2016,2,1041,771,191,2005
IA,2017,0,1375,1307,334,3016
IA,2018,0,1072,1333,78,2483
IA,2019,1,1191,1416,234,2842
IA,2020,3,2301,1027,318,3649
IA,2021,1,5616,730,604,6951
IA,2022,51,4190,370,280,4891
IA,2023,0,440,0,30,470
ID,2016,0,320,51,48,419
ID,2017,0,238,48,82,368
ID,2018,0,377,40,2,419
ID,2019,0,441,50,63,554
ID,2020,0,2171,24,124,2319
ID,2021,0,4551,10,202,4763
ID,2022,1,2236,2,25,2264
ID,2023,0,270,0,0,270
IL,2016,1,12463,4256,359,17079
IL,2017,8,17450,7104,748,25310
IL,2018,6,16524,6767,791,24088
IL,2019,0,12493,6602,874,19969
IL,2020,252,9870,14216,669,25007
IL,2021,0,13843,14447,164,28454
IL,2022,1353,18383,4356,518,24610
IL,2023,0,4247,0,194,4441
IN,2016,0,739,414,470,1623
IN,2017,4,4565,1737,641,6947
IN,2018,10,9469,3533,696,13708
IN,2019,3,3939,3145,685,7772
IN,2020,43,4014,3197,552,7806
IN,2021,1,9948,2277,1150,13376
IN,2022,266,11411,1574,1248,14499
IN,2023,0,1330,0,163,1493
KS,2016,0,599,96,67,762
KS,2017,0,925,721,91,1737
KS,2018,0,945,1359,102,2406
KS,2019,0,804,1072,119,1995
KS,2020,5,1433,1114,92,2644
KS,2021,0,3216,617,137,3970
KS,2022,29,5972,342,182,6525
KS,2023,0,943,0,10,953
KY,2016,1,663,175,229,1068
KY,2017,2,1533,1594,153,3282
KY,2018,3,3396,4375,178,7952
KY,2019,1,3848,2782,201,6832
KY,2020,34,3914,1473,147,5568
KY,2021,0,3250,1359,156,4765
KY,2022,250,1583,718,162,2713
KY,2023,0,68,0,6,74
LA,2016,0,570,112,167,849
LA,2017,2,9939,2148,144,12233
LA,2018,11,16131,4002,286,20430
LA,2019,6,15039,3631,304,18980
LA,2020,1248,21206,3432,456,26342
LA,2021,8,30850,2755,386,33999
LA,2022,1259,30817,1495,199,33770
LA,2023,0,3095,0,3,3098
MA,2016,5,3469,1686,40,5200
MA,2017,3,5549,3435,59,9046
MA,2018,5,5334,4007,81,9427
MA,2019,2,5562,3712,73,9349
MA,2020,169,7801,2963,168,11101
MA,2021,1,9548,1840,75,11464
MA,2022,1315,3947,980,39,6281
MA,2023,0,116,0,12,128
MD,2016,15,3323,3601,603,7542
MD,2017,8,5132,5673,1528,12341
MD,2018,3,4890,4896,1230,11019
MD,2019,7,6955,4183,1317,12462
MD,2020,275,17918,4159,1999,24351
MD,2021,2,28408,1900,1843,32153
MD,2022,207,33920,1038,2214,37379
MD,2023,0,3012,0,158,3170
ME,2016,0,84,8,43,135
ME,2017,0,551,20,20,591
ME,2018,0,685,15,3,703
ME,2019,1,579,25,31,636
ME,2020,0,216,57,8,281
ME,2021,0,115,115,13,243
ME,2022,3,29,76,1,109
MI,2016,6,10828,5197,621,16652
MI,2017,5,15903,10386,1175,27469
MI,2018,12,13739,9192,1382,24325
MI,2019,6,12208,6597,1549,20360
MI,2020,32,11234,3679,818,15763
MI,2021,32,19298,3848,500,23678
MI,2022,955,25106,1589,1325,28975
MI,2023,0,4704,0,265,4969
MN,2016,0,2339,178,50,2567
MN,2017,1,4627,5707,99,10434
MN,2018,3,8499,11638,87,20227
MN,2019,5,21659,7825,118,29607
MN,2020,33,35716,3269,175,39193
MN,2021,2,41517,1060,174,42753
MN,2022,445,37553,207,149,38354
MN,2023,0,8938,0,11,8949
MO,2016,5,2196,1361,196,3758
MO,2017,0,3641,3403,342,7386
MO,2018,2,3140,5167,476,8785
MO,2019,0,3536,5170,427,9133
MO,2020,64,5144,4786,378,10372
