Severity,Start_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition
2,2016-12-09 18:08:28,39.724689,-75.630928,Wilmington,DE,34.0,50.0,10.0,15.0,,Clear
2,2016-12-13 09:19:10,39.788559,-75.695778,Hockessin,DE,37.9,62.0,10.0,6.9,,Clear
2,2016-12-13 12:07:12,39.794083,-75.467926,Claymont,DE,41.0,57.0,10.0,8.1,,Partly Cloudy
3,2016-12-16 15:04:40,39.818886,-75.449989,Claymont,DE,24.1,46.0,10.0,8.1,,Partly Cloudy
3,2016-12-16 17:37:51,39.696331,-75.570107,New Castle,DE,24.1,51.0,10.0,5.8,,Mostly Cloudy
2,2016-12-19 11:36:52,39.61824,-75.643555,New Castle,DE,32.0,42.0,10.0,8.1,,Clear
2,2016-12-22 12:34:13,38.931782,-75.491394,Milford,DE,53.6,44.0,10.0,15.0,,Partly Cloudy
3,2016-12-26 14:38:28,39.696541,-75.546951,New Castle,DE,44.1,76.0,10.0,3.5,,Overcast
2,2016-12-27 12:02:42,39.669964,-75.71347800000002,Newark,DE,57.9,87.0,10.0,11.5,,Overcast
3,2016-12-27 12:48:14,39.686626,-75.647469,Newark,DE,60.1,80.0,10.0,10.4,,Scattered Clouds
3,2016-12-28 11:55:35,39.651066,-75.720116,Newark,DE,43.0,49.0,10.0,13.8,,Mostly Cloudy
3,2016-12-30 13:41:52,39.69574,-75.55323800000002,New Castle,DE,39.9,43.0,10.0,15.0,,Overcast
3,2016-10-26 06:33:35,39.696568,-75.553825,New Castle,DE,33.1,89.0,10.0,5.8,,Clear
3,2016-11-02 16:35:32,39.784431,-75.472176,Wilmington,DE,66.9,68.0,10.0,6.9,,Clear
3,2016-11-12 20:54:37,39.67870300000001,-75.65641,Newark,DE,37.9,62.0,10.0,5.8,,Clear
2,2016-11-14 12:38:03,39.639076,-75.682327,Newark,DE,55.9,51.0,10.0,4.6,,Clear
3,2016-11-18 12:40:29,39.695766,-75.553658,New Castle,DE,68.0,39.0,10.0,8.1,,Clear
3,2016-11-24 10:24:21,39.779419,-75.506485,Wilmington,DE,48.0,68.0,10.0,,0.0,Overcast
2,2016-11-28 10:45:41,39.804523,-75.454262,Claymont,DE,46.9,63.0,10.0,10.4,,Clear
2,2016-11-28 17:44:54,39.457684,-75.659447,Odessa,DE,48.0,63.0,10.0,9.2,,Clear
2,2016-09-20 06:35:38,39.6147,-75.692642,Bear,DE,66.9,93.0,7.0,6.9,,Clear
2,2016-09-20 12:15:16,39.61861,-75.69489300000002,Bear,DE,75.9,74.0,10.0,8.1,,Clear
2,2016-09-21 06:26:41,39.662586,-75.641998,New Castle,DE,66.0,90.0,10.0,5.8,,Clear
3,2016-09-28 08:09:54,39.696472,-75.616013,New Castle,DE,60.1,93.0,6.0,,,Clear
3,2016-10-03 15:42:39,39.785526,-75.498489,Wilmington,DE,77.0,45.0,10.0,8.1,,Mostly Cloudy
3,2016-10-04 07:57:16,39.687374,-75.645813,New Castle,DE,57.9,90.0,9.0,5.8,,Clear
2,2016-10-06 16:07:57,39.753853,-75.65342700000002,Wilmington,DE,75.0,44.0,10.0,4.6,,Clear
3,2016-10-07 06:36:20,39.703693,-75.604271,New Castle,DE,52.0,93.0,10.0,3.5,,Clear
2,2016-10-07 14:19:10,39.763351,-75.568794,Wilmington,DE,73.9,55.0,10.0,8.1,,Clear
3,2016-10-10 17:09:59,39.717243,-75.551735,Wilmington,DE,64.9,27.0,10.0,13.8,,Clear
2,2016-10-14 12:41:35,39.801811,-75.458679,Claymont,DE,61.0,41.0,10.0,3.5,,Clear
2,2016-10-17 13:05:23,39.325069,-75.615402,Smyrna,DE,79.3,96.0,8.0,5.8,,Clear
3,2016-08-11 22:51:59,39.692883,-75.62825,New Castle,DE,84.0,72.0,10.0,9.2,,Clear
3,2016-08-13 09:43:51,39.698193,-75.610336,New Castle,DE,88.0,70.0,10.0,6.9,,Clear
2,2016-08-13 13:21:50,39.490635,-75.648239,Middletown,DE,93.0,62.0,10.0,9.2,,Clear
3,2016-08-14 12:11:06,39.69145200000001,-75.631989,New Castle,DE,93.0,52.0,10.0,10.4,,Scattered Clouds
2,2016-08-15 08:57:18,39.676659,-75.655487,Newark,DE,82.0,65.0,10.0,9.2,,Clear
2,2016-08-15 21:19:33,39.31601,-75.615326,Smyrna,DE,85.1,82.0,10.0,5.8,,Clear
3,2016-08-16 18:13:56,39.701626,-75.594261,New Castle,DE,89.1,63.0,10.0,10.4,,Thunderstorm
2,2016-08-19 04:24:27,39.605892,-75.74123399999998,Newark,DE,70.0,93.0,9.0,5.8,,Clear
3,2016-08-20 15:10:16,39.680183,-75.664429,Newark,DE,89.1,46.0,10.0,8.1,,Clear
3,2016-08-21 11:00:33,39.682201,-75.656387,Newark,DE,84.0,65.0,10.0,15.0,,Partly Cloudy
2,2016-08-22 21:30:57,39.720135,-75.604912,Wilmington,DE,70.0,57.0,10.0,3.5,,Clear
2,2016-09-02 14:05:58,39.113243,-75.539192,Camden,DE,77.9,64.0,10.0,11.5,,Clear
2,2016-09-08 08:26:41,39.654961,-75.654884,Bear,DE,80.1,76.0,10.0,8.1,,Scattered Clouds
2,2016-09-08 13:49:03,39.699638,-75.703728,Newark,DE,91.0,55.0,10.0,8.1,,Mostly Cloudy
3,2016-09-09 18:05:21,39.766785,-75.54312900000002,Wilmington,DE,88.0,55.0,10.0,9.2,,Clear
2,2016-06-22 07:02:46,39.58005900000001,-75.766228,Newark,DE,69.1,93.0,5.0,5.8,,Partly Cloudy
3,2016-06-23 14:46:53,39.681923,-75.66111,Newark,DE,80.1,62.0,10.0,4.6,,Overcast
2,2016-06-23 17:56:11,39.747646,-75.555679,Wilmington,DE,81.0,60.0,10.0,8.1,,Overcast
3,2016-06-24 09:29:21,39.696091,-75.553421,New Castle,DE,73.9,79.0,10.0,11.5,,Mostly Cloudy
3,2016-06-25 16:00:13,39.816151,-75.452461,Claymont,DE,82.0,42.0,10.0,6.9,,Scattered Clouds
2,2016-06-26 16:34:55,39.695,-75.620705,New Castle,DE,80.1,54.0,10.0,11.5,,Clear
3,2016-06-27 12:46:57,39.741657,-75.561996,Wilmington,DE,77.0,62.0,10.0,15.0,,Mostly Cloudy
3,2016-06-27 13:05:03,39.728878,-75.568176,Wilmington,DE,77.0,62.0,10.0,15.0,,Mostly Cloudy
3,2016-06-29 07:30:49,39.704231,-75.60348499999998,New Castle,DE,72.0,78.0,10.0,6.9,,Clear
2,2016-07-05 04:19:46,39.636726,-75.653183,Bear,DE,73.9,93.0,9.0,8.1,0.05,Light Rain
2,2016-07-05 14:44:23,39.687241,-75.642685,Newark,DE,86.0,61.0,10.0,10.4,,Scattered Clouds
3,2016-07-06 11:33:00,39.818886,-75.449989,Claymont,DE,90.0,46.0,10.0,,,Clear
2,2016-07-06 16:26:05,39.688038,-75.583237,New Castle,DE,89.1,55.0,10.0,9.2,,Partly Cloudy
2,2016-07-07 11:38:02,39.718277,-75.605225,Wilmington,DE,90.0,59.0,10.0,9.2,,Clear
2,2016-07-07 21:43:17,39.574673,-75.739418,Bear,DE,84.0,65.0,10.0,8.1,,Clear
2,2016-07-09 12:57:11,39.330551,-75.625298,Smyrna,DE,80.6,94.0,10.0,10.4,,Mostly Cloudy
3,2016-07-10 18:40:53,39.682117,-75.66068299999998,Newark,DE,82.9,47.0,10.0,10.4,,Clear
3,2016-07-10 19:16:39,39.692196,-75.63044000000002,New Castle,DE,82.9,47.0,10.0,10.4,,Clear
2,2016-07-13 07:39:08,39.720276,-75.555717,New Castle,DE,75.0,82.0,10.0,5.8,,Overcast
3,2016-12-01 06:40:15,39.69716,-75.61551999999998,New Castle,DE,48.9,80.0,10.0,8.1,,Clear
2,2016-12-02 08:51:45,39.219688,-75.574539,Dover,DE,45.0,56.0,10.0,8.1,,Clear
2,2016-12-06 19:15:12,39.76859,-75.53635,Wilmington,DE,43.0,97.0,5.0,13.8,0.13,Light Rain
3,2016-12-08 14:29:31,39.68737,-75.64576,New Castle,DE,46.0,39.0,10.0,23.0,,Clear
3,2016-12-10 14:03:10,39.69815,-75.61068,New Castle,DE,37.0,39.0,10.0,13.8,,Scattered Clouds
4,2016-12-12 15:41:45,39.28354,-75.59006,Smyrna,DE,49.3,100.0,10.0,4.6,,Scattered Clouds
2,2016-12-13 08:14:08,39.63614000000001,-75.74341,Newark,DE,32.0,79.0,10.0,3.5,,Clear
4,2016-12-14 17:56:46,39.714443,-75.581303,New Castle,DE,37.9,39.0,10.0,,,Clear
4,2016-12-14 17:56:46,39.71354,-75.58606,New Castle,DE,37.9,39.0,10.0,,,Clear
2,2016-12-16 08:20:55,39.69388,-75.59975,New Castle,DE,16.0,54.0,10.0,11.5,,Clear
