Severity,Start_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition
2,2016-12-30 17:27:55,46.99023,-104.17457,Wibaux,MT,19.4,100.0,10.0,15.0,,Light Snow
2,2016-12-30 17:27:55,46.94087,-104.079828,Wibaux,MT,19.4,100.0,10.0,15.0,,Light Snow
3,2016-10-26 10:49:46,48.12536,-104.47444,Culbertson,MT,51.1,77.0,10.0,6.9,,Clear
2,2016-12-01 14:02:29,47.750801,-111.66603,Power,MT,37.9,57.0,10.0,5.8,,Overcast
2,2016-12-05 02:22:27,45.06246,-107.3372,Wyola,MT,30.0,85.0,10.0,17.3,0.0,Overcast
2,2016-12-05 12:13:54,45.21075,-110.89101,Emigrant,MT,19.9,62.0,10.0,9.2,,Mostly Cloudy
2,2016-12-07 06:53:46,45.79806,-108.51976,Billings,MT,1.9,76.0,10.0,6.9,,Scattered Clouds
2,2016-12-07 06:53:46,45.80179,-108.53473,Billings,MT,1.9,76.0,10.0,6.9,,Scattered Clouds
2,2016-12-14 07:22:10,47.55951,-111.53035,Power,MT,-13.0,78.0,10.0,11.5,,Clear
3,2016-12-14 14:54:55,45.13524,-107.36913,Lodge Grass,MT,15.1,51.0,10.0,9.2,,Clear
4,2016-12-16 13:20:42,45.70408,-109.54651,Reed Point,MT,-2.0,76.0,1.2,15.0,0.0,Light Snow
3,2016-12-19 01:53:56,44.84672800000001,-111.068954,West Yellowstone,MT,-5.0,87.0,,0.0,0.0,Cloudy
2,2016-12-29 10:12:04,48.55572,-112.097862,Shelby,MT,27.0,58.0,10.0,11.5,,Overcast
2,2016-12-29 11:37:28,46.520705,-105.682093,Ismay,MT,19.9,68.0,10.0,11.5,,Clear
2,2016-12-29 12:13:13,46.263396,-112.291269,Boulder,MT,18.0,60.0,10.0,3.5,,Mostly Cloudy
2,2016-10-23 02:42:20,45.64646,-110.88174,Bozeman,MT,37.0,82.0,10.0,,,Clear
2,2016-10-23 02:42:20,45.64667,-110.88935,Bozeman,MT,37.0,82.0,10.0,,,Clear
