Severity,Start_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition
3,2016-11-30 15:20:52,35.75439,-78.64021,Raleigh,NC,75.0,64.0,10.0,20.7,,Overcast
2,2016-11-30 16:19:52,35.59578300000001,-82.410179,Swannanoa,NC,60.1,86.0,7.0,5.8,0.26,Light Rain
3,2016-11-30 18:02:07,35.25295999999999,-80.89134,Charlotte,NC,66.9,87.0,8.0,11.5,0.05,Rain
4,2016-11-30 18:15:12,35.108625,-80.977378,Charlotte,NC,66.0,93.0,2.0,9.2,0.12,Heavy Rain
2,2016-11-30 19:02:58,35.841495,-78.611948,Raleigh,NC,71.1,75.0,10.0,12.7,,Overcast
2,2016-11-30 19:02:58,35.840987,-78.611723,Raleigh,NC,71.1,75.0,10.0,12.7,,Overcast
2,2016-11-30 19:57:46,35.042776,-80.86375600000002,Pineville,NC,64.0,90.0,10.0,11.5,0.01,Overcast
2,2016-11-30 19:56:24,35.23210200000001,-80.92501899999998,Charlotte,NC,64.0,90.0,10.0,11.5,0.01,Overcast
2,2016-11-30 19:56:24,35.232516,-80.924812,Charlotte,NC,64.0,90.0,10.0,11.5,0.01,Overcast
2,2016-11-30 19:57:46,35.043457000000004,-80.864389,Pineville,NC,64.0,90.0,10.0,11.5,0.01,Overcast
2,2016-12-01 07:17:03,35.20625,-80.79549,Charlotte,NC,48.0,74.0,10.0,4.6,,Partly Cloudy
2,2016-12-01 07:19:47,35.23945,-80.85252,Charlotte,NC,48.0,74.0,10.0,4.6,,Partly Cloudy
2,2016-12-01 07:17:03,35.206487,-80.795435,Charlotte,NC,48.0,74.0,10.0,4.6,,Partly Cloudy
2,2016-12-01 07:19:47,35.199036,-80.867664,Charlotte,NC,48.0,74.0,10.0,4.6,,Partly Cloudy
2,2016-12-01 07:19:47,35.198538,-80.868202,Charlotte,NC,48.0,74.0,10.0,4.6,,Partly Cloudy
2,2016-12-01 07:17:03,35.13283,-80.80945600000003,Charlotte,NC,48.0,74.0,10.0,4.6,,Partly Cloudy
2,2016-12-01 07:17:03,35.13259,-80.80914,Charlotte,NC,48.0,74.0,10.0,4.6,,Partly Cloudy
2,2016-12-01 07:17:03,35.17609,-80.87482,Charlotte,NC,48.0,74.0,10.0,4.6,,Partly Cloudy
2,2016-12-01 07:17:03,35.176235,-80.875227,Charlotte,NC,48.0,74.0,10.0,4.6,,Partly Cloudy
2,2016-12-01 07:19:47,35.22192000000001,-80.83279,Charlotte,NC,48.0,74.0,10.0,4.6,,Partly Cloudy
2,2016-12-01 07:19:47,35.23443,-80.85771,Charlotte,NC,48.0,74.0,10.0,4.6,,Partly Cloudy
2,2016-12-01 07:44:25,35.22784,-80.91346800000002,Charlotte,NC,48.9,71.0,10.0,4.6,,Partly Cloudy
2,2016-12-01 07:44:25,35.226532,-80.910744,Charlotte,NC,48.9,71.0,10.0,4.6,,Partly Cloudy
2,2016-12-01 07:45:42,35.214437,-80.780821,Charlotte,NC,48.9,71.0,10.0,4.6,,Partly Cloudy
2,2016-12-01 07:45:42,35.214025,-80.78091500000002,Charlotte,NC,48.9,71.0,10.0,4.6,,Partly Cloudy
2,2016-12-01 07:59:43,35.055361,-80.85951899999998,Charlotte,NC,48.0,93.0,9.0,5.8,,Clear
2,2016-12-01 07:59:43,35.213774,-80.837366,Charlotte,NC,48.9,71.0,10.0,4.6,,Partly Cloudy
2,2016-12-01 08:01:03,35.076734,-80.742723,Charlotte,NC,48.0,93.0,9.0,5.8,,Clear
2,2016-12-01 07:59:43,35.21338,-80.83714499999998,Charlotte,NC,48.9,71.0,10.0,4.6,,Partly Cloudy
2,2016-12-01 07:59:43,35.055527000000005,-80.85955899999998,Charlotte,NC,48.0,93.0,9.0,5.8,,Clear
2,2016-12-01 08:01:03,35.076957,-80.741831,Charlotte,NC,48.0,93.0,9.0,5.8,,Clear
2,2016-12-01 09:06:50,35.31281,-80.70561,Charlotte,NC,51.8,62.0,10.0,4.6,,Clear
2,2016-12-01 09:05:29,35.23962,-80.91956,Charlotte,NC,52.0,61.0,10.0,5.8,,Partly Cloudy
2,2016-12-01 09:06:50,35.311616,-80.71,Charlotte,NC,51.8,62.0,10.0,4.6,,Clear
2,2016-12-01 10:05:54,35.133604,-80.762904,Charlotte,NC,55.0,57.0,10.0,8.1,,Clear
2,2016-12-01 10:05:54,35.1328,-80.7618,Charlotte,NC,55.0,57.0,10.0,8.1,,Clear
2,2016-12-01 10:27:13,35.20914000000001,-80.85418100000003,Charlotte,NC,57.0,47.0,10.0,4.6,,Partly Cloudy
2,2016-12-01 10:25:51,35.29810900000001,-80.73803199999998,Charlotte,NC,57.2,44.0,10.0,6.9,,Clear
2,2016-12-01 10:25:51,35.140166,-80.91289300000003,Charlotte,NC,57.0,47.0,10.0,4.6,,Partly Cloudy
2,2016-12-01 10:25:51,35.297473,-80.73983100000002,Charlotte,NC,57.2,44.0,10.0,6.9,,Clear
