Severity,Start_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition
2,2016-11-30 17:07:10,35.152571,-89.886753,Memphis,TN,50.0,48.0,10.0,6.9,,Partly Cloudy
2,2016-11-30 17:07:10,35.153122,-89.887304,Memphis,TN,50.0,48.0,10.0,6.9,,Partly Cloudy
2,2016-11-30 17:41:06,36.15373,-86.76321,Nashville,TN,51.1,50.0,10.0,6.9,,Partly Cloudy
2,2016-11-30 17:41:06,36.15443,-86.76102,Nashville,TN,51.1,50.0,10.0,6.9,,Partly Cloudy
2,2016-11-30 18:05:39,36.15152,-86.75153,Nashville,TN,51.1,50.0,10.0,6.9,,Partly Cloudy
3,2016-11-30 20:23:02,36.23339,-86.81899,Nashville,TN,48.0,56.0,10.0,4.6,,Clear
3,2016-12-01 07:00:00,35.15866,-85.248464,Hixson,TN,39.9,73.0,10.0,3.5,,Clear
2,2016-12-01 07:09:47,35.157592,-85.24854599999998,Hixson,TN,39.9,73.0,10.0,3.5,,Clear
3,2016-12-01 09:05:54,35.998696,-86.60185600000001,La Vergne,TN,44.1,55.0,10.0,9.2,,Clear
3,2016-12-01 10:33:56,35.870277,-83.758675,Seymour,TN,46.9,54.0,10.0,9.2,,Scattered Clouds
2,2016-12-01 10:18:07,35.134,-89.8677,Memphis,TN,51.1,44.0,10.0,11.5,,Clear
2,2016-12-01 17:33:45,36.1472,-86.74367,Nashville,TN,46.0,46.0,10.0,4.6,,Clear
2,2016-12-01 17:35:04,36.15881,-86.82234,Nashville,TN,46.0,46.0,10.0,4.6,,Clear
2,2016-12-01 17:56:10,36.1634,-86.76194,Nashville,TN,46.0,46.0,10.0,4.6,,Clear
3,2016-12-01 18:38:48,36.07232,-86.69174,Nashville,TN,45.0,48.0,10.0,3.5,,Clear
2,2016-12-01 18:40:08,35.863182,-86.452543,Murfreesboro,TN,37.9,73.0,10.0,,,Clear
3,2016-12-01 20:54:23,36.17146,-86.80277,Nashville,TN,43.0,51.0,10.0,5.8,,Clear
2,2016-12-02 06:22:48,35.07886,-90.02585,Memphis,TN,37.0,79.0,10.0,,,Clear
2,2016-12-02 06:34:19,36.210288,-86.733531,Nashville,TN,30.9,85.0,10.0,,,Partly Cloudy
2,2016-12-02 06:34:19,36.210972,-86.733048,Nashville,TN,30.9,85.0,10.0,,,Partly Cloudy
2,2016-12-02 06:39:43,36.15016,-86.85793000000002,Nashville,TN,30.9,85.0,10.0,,,Partly Cloudy
2,2016-12-02 06:39:43,36.150155,-86.857949,Nashville,TN,30.9,85.0,10.0,,,Partly Cloudy
2,2016-12-02 09:44:05,36.19846,-83.144326,Russellville,TN,38.0,83.0,10.0,0.0,0.0,Fair
2,2016-12-02 09:08:51,36.1472,-86.74367,Nashville,TN,42.1,67.0,10.0,,,Clear
3,2016-12-02 10:17:51,36.11868,-86.80108,Nashville,TN,48.9,48.0,10.0,3.5,,Partly Cloudy
4,2016-12-02 10:45:08,36.501879,-87.326727,Clarksville,TN,48.9,48.0,10.0,6.9,,Clear
4,2016-12-02 10:45:08,36.499723,-87.336667,Clarksville,TN,48.9,48.0,10.0,6.9,,Clear
2,2016-12-02 13:29:29,36.14148,-86.67041,Nashville,TN,57.9,31.0,10.0,5.8,,Partly Cloudy
2,2016-12-02 17:54:05,35.94113,-84.00332,Knoxville,TN,46.9,52.0,10.0,6.9,,Scattered Clouds
2,2016-12-02 17:54:05,35.95365,-83.97713,Knoxville,TN,46.9,52.0,10.0,6.9,,Scattered Clouds
3,2016-12-02 18:00:22,35.084404,-89.882562,Memphis,TN,,,10.0,,,Mostly Cloudy
2,2016-12-02 18:43:25,36.15252,-86.766419,Nashville,TN,48.9,41.0,10.0,5.8,,Scattered Clouds
2,2016-12-02 18:43:25,36.14893,-86.77733,Nashville,TN,48.9,41.0,10.0,5.8,,Scattered Clouds
3,2016-12-04 02:28:32,35.01436,-85.25180999999998,Chattanooga,TN,41.0,93.0,4.0,5.8,0.01,Light Rain
4,2016-12-04 03:19:06,36.03862,-86.64787,Antioch,TN,41.0,89.0,5.0,8.1,0.01,Light Rain
3,2016-12-04 07:02:13,36.02848400000001,-86.63639599999998,Antioch,TN,42.1,92.0,8.0,10.4,,Overcast
4,2016-12-04 12:15:32,35.01645,-85.38549,Chattanooga,TN,44.1,93.0,1.5,3.5,0.07,Light Rain
2,2016-12-05 06:24:50,36.14864,-86.74611999999998,Nashville,TN,43.0,86.0,8.0,8.1,,Overcast
2,2016-12-05 07:38:52,35.008674,-85.198755,Chattanooga,TN,48.0,89.0,2.0,3.5,,Patches of Fog
2,2016-12-05 06:36:17,35.072070000000004,-90.01445,Memphis,TN,42.1,89.0,10.0,10.4,,Overcast
3,2016-12-05 08:05:49,35.855821,-83.96072099999998,Louisville,TN,46.9,93.0,2.5,5.8,0.0,Overcast
