Severity,Start_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition
2,2016-12-01 06:23:06,40.6206,-111.897009,Midvale,UT,29.3,93.0,10.0,,,Overcast
2,2016-12-01 08:50:48,37.24403,-113.35309,Leeds,UT,28.4,59.0,10.0,3.5,,Clear
3,2016-12-01 15:07:50,41.297864,-111.96889,Ogden,UT,33.1,75.0,10.0,4.6,,Clear
3,2016-12-01 15:07:50,41.294622,-111.968969,Ogden,UT,33.1,75.0,10.0,4.6,,Clear
2,2016-12-02 07:29:48,40.64479,-111.938894,Salt Lake City,UT,25.2,100.0,10.0,9.2,,Mostly Cloudy
2,2016-12-02 09:03:34,40.71232,-111.93897,West Valley City,UT,28.4,83.0,10.0,6.9,,Clear
2,2016-12-02 10:06:09,40.62371,-111.92098,West Jordan,UT,30.2,77.0,10.0,6.9,,Clear
2,2016-12-02 10:06:09,40.62383,-111.92079,West Jordan,UT,30.2,77.0,10.0,6.9,,Clear
2,2016-12-02 10:51:29,40.71172,-111.9039,Salt Lake City,UT,33.1,66.0,10.0,5.8,,Partly Cloudy
2,2016-12-02 12:16:05,40.56412,-111.89942,South Jordan,UT,32.0,76.0,10.0,10.4,,Clear
2,2016-12-05 11:48:47,40.63595,-111.9102,Salt Lake City,UT,29.1,55.0,10.0,5.8,,Scattered Clouds
3,2016-12-05 12:17:34,41.207649,-111.97926,Ogden,UT,30.0,45.0,10.0,10.4,,Clear
2,2016-12-06 05:39:21,38.654199,-112.59726299999998,Fillmore,UT,10.0,85.0,10.0,0.0,,Fair
4,2016-12-06 06:07:46,38.716074,-109.706169,Thompson,UT,25.0,28.0,10.0,,,Clear
4,2016-12-06 06:07:46,38.749498,-109.738443,Thompson,UT,25.0,28.0,10.0,,,Clear
2,2016-12-06 06:46:05,40.72243,-112.04661000000002,West Valley City,UT,21.6,70.0,10.0,9.2,,Clear
4,2016-12-06 06:54:02,40.69994000000001,-111.89974,Salt Lake City,UT,23.0,63.0,10.0,9.2,,Scattered Clouds
2,2016-12-06 07:23:45,40.760682,-111.914579,Salt Lake City,UT,23.0,63.0,10.0,9.2,,Scattered Clouds
3,2016-12-06 07:46:10,40.717216,-111.853521,Salt Lake City,UT,24.1,57.0,10.0,8.1,,Mostly Cloudy
2,2016-12-06 08:57:27,40.7145,-111.82831000000002,Salt Lake City,UT,26.1,55.0,10.0,6.9,,Mostly Cloudy
2,2016-12-06 10:25:28,40.73928,-111.90424,Salt Lake City,UT,30.0,49.0,10.0,5.8,,Mostly Cloudy
2,2016-12-06 10:30:50,40.5935,-111.9027,Sandy,UT,29.8,56.0,10.0,3.5,,Overcast
2,2016-12-06 12:33:25,40.542003,-112.298361,Tooele,UT,29.0,54.0,10.0,7.0,0.0,Cloudy
2,2016-12-06 12:33:25,40.539877,-112.298389,Tooele,UT,29.0,54.0,10.0,7.0,0.0,Cloudy
2,2016-12-07 07:48:55,40.72626,-111.97393,West Valley City,UT,19.0,97.0,10.0,8.1,,Clear
2,2016-12-07 08:40:29,40.81384,-111.9228,Salt Lake City,UT,21.9,72.0,10.0,6.9,,Mostly Cloudy
2,2016-12-07 08:39:08,40.72575,-111.99293,West Valley City,UT,18.5,98.0,10.0,4.6,,Scattered Clouds
2,2016-12-07 10:05:30,40.634448,-111.83426,Salt Lake City,UT,22.5,85.0,10.0,8.1,,Overcast
