Severity,Start_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition
3,2019-12-26 19:57:54,31.61293,-89.20683299999996,Ellisville,MS,66.0,84.0,10.0,3.0,0.0,Cloudy
3,2019-12-27 09:43:34,32.274216,-90.164146,Pearl,MS,62.0,86.0,2.0,8.0,0.04,Rain
3,2019-12-27 08:30:14,31.296942,-89.35276800000004,Hattiesburg,MS,62.0,90.0,10.0,3.0,0.0,Light Rain
2,2019-12-31 16:52:34,34.962685,-90.060707,Horn Lake,MS,47.0,46.0,10.0,9.0,0.0,Fair
2,2019-12-31 10:55:18,31.32457,-89.356201,Hattiesburg,MS,53.0,41.0,10.0,8.0,0.0,Fair
3,2019-12-02 07:58:46,32.300579,-90.280304,Jackson,MS,40.0,65.0,10.0,6.0,0.0,Fair
2,2019-12-02 07:25:31,34.362049,-89.56551400000002,Oxford,MS,37.0,60.0,10.0,7.0,0.0,Cloudy
2,2019-12-02 07:45:01,34.298409,-89.520081,Oxford,MS,37.0,60.0,10.0,9.0,0.0,Cloudy
2,2019-12-02 07:49:46,31.324705,-89.328987,Hattiesburg,MS,43.0,58.0,10.0,12.0,0.0,Fair
2,2019-12-02 07:59:21,30.43849,-88.833572,Ocean Springs,MS,45.0,57.0,10.0,9.0,0.0,Fair
2,2019-12-02 08:30:32,31.32457,-89.356201,Hattiesburg,MS,45.0,52.0,10.0,15.0,0.0,Fair
3,2019-12-03 08:05:52,32.297539,-90.274963,Jackson,MS,33.0,85.0,9.0,0.0,0.0,Fair
2,2019-12-03 08:05:13,32.337601,-90.09343,Flowood,MS,32.0,88.0,10.0,0.0,0.0,Partly Cloudy
2,2019-12-03 14:20:42,32.267796000000004,-90.210228,Jackson,MS,57.0,33.0,10.0,8.0,0.0,Fair
3,2019-12-03 16:15:41,34.962765000000005,-89.999245,Southaven,MS,50.0,59.0,10.0,10.0,0.0,Mostly Cloudy
2,2019-12-03 07:42:43,31.317451,-89.413033,Hattiesburg,MS,34.0,85.0,10.0,0.0,0.0,Fair
2,2019-12-03 07:41:18,31.348419,-89.33557900000002,Hattiesburg,MS,34.0,85.0,10.0,0.0,0.0,Fair
2,2019-12-03 08:15:02,31.32151,-89.381187,Hattiesburg,MS,34.0,85.0,10.0,0.0,0.0,Fair
2,2019-12-03 08:13:49,31.42046,-89.545822,Sumrall,MS,39.0,79.0,10.0,0.0,0.0,Fair
