Severity,Start_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition
3,2019-12-28 16:46:35,41.674194,-107.981041,Wamsutter,WY,12.0,84.0,7.0,9.0,0.0,Cloudy
3,2019-12-28 20:53:48,41.175701,-104.075905,Pine Bluffs,WY,21.0,93.0,5.0,21.0,,Light Snow / Windy
4,2019-12-08 22:57:18,42.844227,-106.216621,Evansville,WY,15.0,84.0,4.0,9.0,0.01,Light Snow
4,2019-12-12 06:29:07,41.634087,-106.284035,Rock River,WY,,,,,,
3,2019-10-14 17:46:25,44.66481,-106.879387,Sheridan,WY,53.0,38.0,10.0,17.0,0.0,Cloudy
3,2019-11-11 08:53:23,41.183632,-104.838036,Cheyenne,WY,11.0,67.0,10.0,3.0,0.0,Fair
4,2019-11-22 02:36:53,41.392464,-110.184402,Fort Bridger,WY,,,,,,
3,2019-09-25 06:26:53,41.135288,-104.704681,Cheyenne,WY,46.0,71.0,10.0,3.0,0.0,Fair
4,2019-09-12 21:26:00,41.394924,-105.824165,Laramie,WY,43.0,62.0,10.0,7.0,0.0,Fair
4,2019-07-11 17:17:11,41.724068,-106.459595,Hanna,WY,86.0,1.0,10.0,,0.0,Fair
4,2019-07-23 17:53:21,41.78434,-104.791908,Chugwater,WY,90.0,29.0,10.0,0.0,0.0,Fair
2,2019-05-09 10:18:59,44.156219,-108.869247,Meeteetse,WY,58.0,72.0,10.0,5.0,0.0,Cloudy
3,2019-05-12 09:53:57,42.754814,-105.407433,Douglas,WY,60.0,47.0,10.0,17.0,0.0,Fair
4,2019-05-15 06:14:28,41.260365,-110.986366,Evanston,WY,47.0,50.0,10.0,6.0,0.0,Fair
2,2019-04-23 04:45:34,43.761757,-105.47599,Gillette,WY,39.0,82.0,10.0,8.0,0.0,Fair
3,2019-02-06 03:43:17,41.754181,-106.961311,Rawlins,WY,19.4,100.0,1.8,3.5,0.0,Light Snow
3,2019-02-08 08:30:49,41.745857,-107.611824,Wamsutter,WY,12.0,56.0,10.0,16.0,0.0,Fair
3,2019-02-18 12:04:55,41.033844,-104.897545,Cheyenne,WY,6.3,80.0,7.0,11.5,,Light Snow Showers
2,2019-01-14 03:05:29,41.824581,-110.825363,Cokeville,WY,1.4,78.0,10.0,8.1,,Clear
3,2019-01-16 08:38:56,41.260738,-110.985046,Evanston,WY,23.0,88.0,8.0,10.4,0.0,Light Snow
3,2019-01-16 08:37:50,41.532833,-109.373154,Green River,WY,11.0,88.0,1.0,7.0,0.0,Light Snow
3,2019-01-21 05:21:41,41.238739,-105.437881,Laramie,WY,33.1,52.0,10.0,12.7,,Clear
4,2019-01-21 16:15:23,41.645432,-108.576324,Rock Springs,WY,26.1,81.0,10.0,11.5,,Overcast
2,2019-01-23 02:51:08,41.728329,-107.728455,Wamsutter,WY,14.0,67.0,9.0,24.0,0.0,Light Snow / Windy
