Severity,Start_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition
2,2020-12-30 07:39:53,47.763279,-116.981468,Post Falls,ID,27.0,93.0,1.0,6.0,0.0,Light Snow
2,2020-12-16 04:13:15,47.709312,-117.000893,Post Falls,ID,35.0,92.0,10.0,0.0,0.0,Cloudy
2,2020-11-28 16:33:13,47.831924,-116.777786,Hayden,ID,37.0,79.0,10.0,3.0,0.0,Fair
3,2020-11-25 22:59:57,43.619019,-116.219467,Boise,ID,33.0,96.0,9.0,0.0,0.0,Cloudy
2,2020-11-20 07:19:32,47.467812,-117.001129,Worley,ID,28.0,92.0,10.0,0.0,0.0,Mostly Cloudy
2,2020-11-16 07:10:51,47.818512,-116.787796,Rathdrum,ID,35.0,92.0,10.0,3.0,0.0,Fair
2,2020-11-02 07:48:15,47.763279,-116.981468,Post Falls,ID,34.0,100.0,8.0,7.0,0.0,Fair
2,2020-09-11 08:08:16,47.699913,-116.808167,Coeur D Alene,ID,54.0,64.0,10.0,5.0,0.0,Fair
3,2020-10-01 13:04:09,43.599125,-116.513908,Nampa,ID,77.0,21.0,10.0,8.0,0.0,Fair
3,2020-10-22 05:44:14,47.623688,-116.648796,Coeur D Alene,ID,28.0,92.0,10.0,5.0,0.0,Cloudy
3,2020-10-22 05:50:06,47.656666,-116.724937,Coeur D Alene,ID,28.0,92.0,10.0,5.0,0.0,Cloudy
2,2020-10-27 04:48:52,47.700748,-116.791656,Coeur D Alene,ID,18.0,88.0,10.0,5.0,0.0,Fair
3,2020-07-14 16:30:56,43.465176,-116.094154,Boise,ID,85.0,14.0,10.0,9.0,0.0,Fair
2,2020-07-22 09:43:45,43.59914000000001,-116.513618,Nampa,ID,77.0,41.0,10.0,0.0,0.0,Fair
3,2020-08-07 13:00:54,44.357334,-112.18634,Spencer,ID,75.0,41.0,10.0,13.0,0.0,Fair
2,2020-08-12 15:08:12,48.523449,-116.437737,Naples,ID,68.0,33.0,10.0,13.0,0.0,Fair
2,2020-08-13 15:30:52,47.710888,-116.896599,Post Falls,ID,73.0,28.0,10.0,12.0,0.0,Fair
3,2020-05-27 17:31:25,47.826641,-116.873589,Rathdrum,ID,72.0,27.0,10.0,9.0,0.0,Fair
4,2020-05-28 07:18:48,43.618275,-116.23819,Boise,ID,57.0,55.0,10.0,7.0,0.0,Fair
3,2020-05-28 13:00:23,43.59914000000001,-116.553871,Nampa,ID,79.0,32.0,10.0,5.0,0.0,Fair
3,2020-06-01 13:57:23,47.914619,-116.845596,Spirit Lake,ID,65.0,48.0,10.0,10.0,0.0,Partly Cloudy
4,2020-05-11 08:21:35,43.600697,-116.573151,Nampa,ID,61.0,52.0,10.0,0.0,0.0,Fair
2,2020-06-19 11:55:33,43.600681,-116.228569,Boise,ID,74.0,37.0,10.0,3.0,0.0,Fair
3,2020-06-19 12:31:30,43.610836,-116.597549,Nampa,ID,73.0,44.0,10.0,5.0,0.0,Fair
3,2020-06-19 16:08:47,43.61685900000001,-116.253578,Boise,ID,79.0,25.0,10.0,7.0,0.0,Fair
2,2020-06-05 20:54:11,47.773499,-116.790192,Hayden,ID,53.0,96.0,10.0,3.0,0.04,Light Rain
2,2020-06-15 11:17:10,43.66291,-116.413742,Meridian,ID,59.0,67.0,10.0,0.0,0.0,Mostly Cloudy
4,2020-06-16 01:30:19,43.690025,-116.692963,Caldwell,ID,50.0,96.0,10.0,3.0,0.0,Cloudy
2,2020-03-16 19:00:39,43.583649,-116.573212,Nampa,ID,57.0,59.0,10.0,6.0,0.0,Mostly Cloudy
2,2020-03-20 15:29:47,47.262081,-116.923782,Plummer,ID,58.0,30.0,10.0,9.0,0.0,Fair
3,2020-03-25 08:50:19,47.575344,-116.44207,Cataldo,ID,34.0,93.0,1.0,5.0,0.06,Light Snow
2,2020-03-26 15:59:21,47.32272,-116.620163,Saint Maries,ID,41.0,60.0,10.0,14.0,0.0,Cloudy
2,2020-04-29 12:42:11,47.818512,-116.787796,Rathdrum,ID,67.0,42.0,10.0,13.0,0.0,Fair
4,2020-01-07 15:21:37,47.708969,-117.002129,Post Falls,ID,42.0,82.0,10.0,9.0,0.0,Cloudy
3,2020-01-07 18:23:10,47.708969,-117.002129,Post Falls,ID,39.0,86.0,10.0,7.0,0.0,Cloudy
2,2020-01-08 14:42:19,43.608761,-111.818237,Idaho Falls,ID,32.0,82.0,10.0,22.0,0.0,Cloudy / Windy
3,2020-01-10 13:05:41,47.536469,-116.116379,Kellogg,ID,17.0,77.0,0.75,6.0,0.0,Light Snow
3,2020-02-12 16:33:12,43.61685900000001,-116.253578,Boise,ID,47.0,39.0,10.0,16.0,0.0,Fair
4,2020-02-14 06:17:01,42.688946,-114.518433,Jerome,ID,33.0,72.0,10.0,5.0,0.0,Cloudy
3,2020-02-25 17:07:28,43.907124,-116.815758,New Plymouth,ID,50.0,29.0,10.0,5.0,0.0,Partly Cloudy
3,2020-02-25 19:42:06,43.907124,-116.815758,New Plymouth,ID,37.0,44.0,10.0,0.0,0.0,Partly Cloudy
2,2020-12-19 01:29:24,43.458294,-116.573232,Nampa,ID,36.0,100.0,10.0,0.0,0.0,Mostly Cloudy
2,2020-12-19 01:29:24,43.459369,-116.573233,Nampa,ID,36.0,100.0,10.0,0.0,0.0,Mostly Cloudy
2,2020-12-19 01:29:24,43.459369,-116.573233,Nampa,ID,36.0,100.0,10.0,0.0,0.0,Mostly Cloudy
2,2020-10-29 14:26:00,43.610565,-116.268598,Boise,ID,65.0,28.0,10.0,3.0,0.0,Fair
