Severity,Start_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition
2,2020-12-31 05:52:03,44.090881,-70.230583,Auburn,ME,35.0,92.0,10.0,8.0,0.0,Cloudy
2,2020-12-31 16:48:13,44.290131,-70.365356,Buckfield,ME,36.0,48.0,10.0,8.0,0.0,Fair
2,2020-12-30 05:23:52,44.49890900000001,-68.380852,Trenton,ME,21.0,57.0,10.0,9.0,0.0,Fair
3,2020-12-24 16:51:53,43.784779,-70.19004100000001,Yarmouth,ME,47.0,90.0,10.0,10.0,0.0,Cloudy
2,2020-12-22 10:38:31,46.00005,-68.41731300000001,Crystal,ME,33.0,75.0,10.0,12.0,0.0,Cloudy
3,2020-12-20 17:54:50,43.480083,-70.49834399999997,Biddeford,ME,30.0,100.0,1.0,3.0,0.03,Light Snow
3,2020-12-20 22:55:37,44.758919,-68.974678,Hampden,ME,35.0,92.0,5.0,0.0,0.01,Cloudy
2,2020-12-17 05:25:07,43.41243,-70.868362,Lebanon,ME,12.0,92.0,0.5,21.0,0.0,Snow / Windy
3,2020-12-17 07:48:15,43.732609,-70.230301,Falmouth,ME,12.0,92.0,0.25,16.0,0.09,Heavy Snow
4,2020-12-17 12:51:38,43.732182,-70.299095,Falmouth,ME,16.0,92.0,0.12,,0.14,Snow
3,2020-12-17 18:36:06,43.604538,-70.369652,Scarborough,ME,19.0,81.0,9.0,20.0,0.0,Mostly Cloudy
2,2020-12-17 16:42:45,44.567451,-68.67890200000001,Orland,ME,13.0,81.0,1.0,16.0,0.0,Light Snow
3,2020-12-15 16:16:33,43.604538,-70.369652,Scarborough,ME,25.0,31.0,10.0,13.0,0.0,Fair
2,2020-12-14 06:38:03,44.980759,-69.545128,Harmony,ME,28.0,85.0,10.0,0.0,0.0,Fair
2,2020-12-14 06:59:42,44.055489,-70.253227,Auburn,ME,25.0,100.0,10.0,3.0,0.0,Fair
2,2020-12-10 13:45:53,43.730507,-70.23005699999999,Falmouth,ME,42.0,55.0,10.0,12.0,0.0,Partly Cloudy
2,2020-12-10 16:31:22,43.103935,-70.74546099999998,Kittery,ME,38.0,58.0,10.0,6.0,0.0,Mostly Cloudy
3,2020-12-07 20:35:43,43.407005,-70.560066,Kennebunk,ME,28.0,78.0,10.0,12.0,0.0,Cloudy
3,2020-12-07 13:46:30,44.902905,-68.69203900000001,Orono,ME,30.0,69.0,10.0,12.0,0.0,Mostly Cloudy
2,2020-12-03 07:52:00,44.82336,-68.651604,Eddington,ME,31.0,69.0,10.0,6.0,0.0,Fair
3,2020-12-02 16:33:01,44.809704,-68.792564,Bangor,ME,41.0,53.0,10.0,16.0,0.0,Mostly Cloudy
3,2020-12-01 11:24:00,44.594227,-69.615379,Fairfield,ME,59.0,94.0,3.0,7.0,0.05,Light Rain
2,2020-11-30 06:44:09,44.251301,-69.424149,Washington,ME,45.0,100.0,10.0,5.0,0.0,Fair
3,2020-11-26 09:13:40,44.78508400000001,-69.404152,Pittsfield,ME,32.0,96.0,3.0,7.0,0.05,Wintry Mix
3,2020-11-25 11:04:16,43.728367,-70.235573,Falmouth,ME,27.0,92.0,3.0,7.0,0.01,Light Snow
3,2020-11-25 16:12:30,44.100304,-70.08683,Sabattus,ME,27.0,93.0,10.0,5.0,0.0,Cloudy
3,2020-11-25 11:02:48,44.809704,-68.792564,Bangor,ME,25.0,85.0,2.0,6.0,0.01,Light Snow
3,2020-11-23 08:36:15,43.480083,-70.49834399999997,Biddeford,ME,53.0,100.0,1.0,9.0,0.12,Light Rain
3,2020-11-23 09:06:21,43.604538,-70.369652,Scarborough,ME,53.0,100.0,1.0,9.0,0.12,Light Rain
3,2020-11-23 10:21:11,43.528004,-70.452393,Saco,ME,44.0,100.0,1.0,6.0,0.13,Rain
2,2020-11-20 07:22:14,45.37558,-68.605171,Lincoln,ME,34.0,64.0,10.0,0.0,0.0,Cloudy
3,2020-11-18 06:39:37,43.881969,-70.335854,Gray,ME,25.0,60.0,10.0,14.0,0.0,Fair
