Severity,Start_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition
2,2023-01-24 15:48:12,35.310832,-94.200614,Lavaca,AR,33.0,96.0,0.5,12.0,0.19,Heavy Snow
2,2023-01-24 16:14:37,35.46230300000001,-92.184028,Quitman,AR,32.0,100.0,0.25,0.0,0.0,Snow
2,2023-01-30 18:40:54,34.973889,-92.418141,Mayflower,AR,32.0,86.0,6.0,7.0,0.09,Light Rain
2,2023-01-13 15:43:37,34.79268,-92.222789,North Little Rock,AR,42.0,47.0,10.0,9.0,0.0,Fair
2,2023-01-30 18:27:30,34.989466,-92.416162,Conway,AR,32.0,86.0,6.0,7.0,0.09,Light Rain
2,2023-01-24 18:48:23,36.050555,-94.192729,Fayetteville,AR,34.0,92.0,1.0,5.0,0.07,Light Snow
2,2023-01-21 17:17:03,34.769483,-92.116537,North Little Rock,AR,51.0,50.0,10.0,7.0,0.0,Cloudy
2,2023-01-15 19:16:00,34.87043,-91.287295,Brinkley,AR,53.0,52.0,10.0,13.0,0.0,Cloudy
2,2023-01-04 19:37:30,35.658012,-94.171412,Mountainburg,AR,42.0,62.0,10.0,0.0,0.0,Fair
2,2023-01-24 16:36:24,35.809054,-92.202578,Mountain View,AR,32.0,100.0,0.25,0.0,0.0,Snow
2,2023-01-01 23:01:50,35.016257,-90.726107,Madison,AR,,,,,,
2,2023-01-30 08:24:18,35.32743400000001,-94.394806,Fort Smith,AR,29.0,85.0,10.0,8.0,0.0,Cloudy
2,2023-01-29 01:16:04,34.786544,-92.281076,North Little Rock,AR,52.0,100.0,2.0,3.0,0.0,Rain
2,2023-01-17 14:12:00,35.11815900000001,-92.451299,Conway,AR,69.0,59.0,10.0,3.0,0.0,Fair
2,2023-01-30 06:33:30,35.33251,-94.296358,Lavaca,AR,29.0,89.0,10.0,8.0,0.0,Cloudy
4,2023-01-06 04:27:03,34.395579999999995,-92.374699,Sheridan,AR,36.0,86.0,10.0,0.0,0.0,Fair
2,2023-01-31 08:28:00,35.807023,-90.678183,Jonesboro,AR,23.0,85.0,10.0,10.0,0.0,Cloudy
2,2023-01-24 20:29:15,36.142732,-94.183423,Springdale,AR,32.0,100.0,1.0,9.0,,Cloudy
2,2023-01-18 07:02:08,34.893914,-92.429794,North Little Rock,AR,59.0,94.0,6.0,0.0,0.0,Light Drizzle
2,2023-01-31 02:19:30,35.132816,-90.478916,Heth,AR,29.0,92.0,7.0,18.0,0.0,Cloudy
2,2023-01-26 10:07:56,35.175865,-94.042359,Greenwood,AR,31.0,69.0,10.0,9.0,0.0,Fair
2,2023-01-31 09:28:30,35.648684,-90.085026,Osceola,AR,24.0,84.0,10.0,17.0,0.0,Cloudy
4,2023-01-30 05:36:04,35.339675,-94.382491,Fort Smith,AR,29.0,92.0,6.0,7.0,0.0,Cloudy
2,2023-01-13 13:29:39,33.927073,-94.373711,Horatio,AR,56.0,23.0,10.0,9.0,0.0,Fair
2,2023-01-14 08:45:00,34.632377000000005,-92.466319,Bryant,AR,33.0,70.0,10.0,0.0,0.0,Fair
2,2023-01-06 04:27:03,34.399212,-92.374051,Sheridan,AR,36.0,86.0,10.0,0.0,0.0,Fair
4,2023-01-25 14:10:56,33.891853999999995,-91.256114,Watson,AR,42.0,74.0,10.0,15.0,0.0,Cloudy
