Severity,Start_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition
2,2023-03-31 16:55:00,41.132812,-93.786042,New Virginia,IA,53.0,67.0,10.0,23.0,0.0,Mostly Cloudy / Windy
2,2023-03-20 11:56:30,41.927232,-91.669756,Cedar Rapids,IA,46.0,42.0,10.0,23.0,0.0,Fair / Windy
2,2023-03-28 12:46:00,41.591258,-93.678974,Des Moines,IA,40.0,41.0,10.0,10.0,0.0,Fair
2,2023-02-27 07:42:00,41.59234,-93.741635,West des Moines,IA,47.0,93.0,10.0,10.0,0.01,Cloudy
2,2023-03-31 11:34:30,41.999902,-93.609942,Ames,IA,75.0,55.0,10.0,18.0,0.0,Fair
2,2023-03-28 15:06:00,41.651894,-93.743056,Urbandale,IA,46.0,33.0,10.0,10.0,0.0,Fair
2,2023-03-27 07:24:30,41.600462,-93.774955,Clive,IA,24.0,88.0,10.0,8.0,0.0,Fair
2,2023-03-25 01:44:00,41.010794,-92.077263,Fairfield,IA,32.0,100.0,1.0,12.0,0.0,Fog
2,2023-03-20 07:46:30,41.652634,-93.711635,Urbandale,IA,33.0,50.0,10.0,12.0,0.0,Fair
2,2023-03-27 07:45:00,41.257999,-95.906178,Council Bluffs,IA,20.0,92.0,10.0,0.0,0.0,Fair
2,2023-03-23 01:02:00,41.650019,-93.652636,Des Moines,IA,32.0,93.0,3.0,10.0,0.0,Rain
2,2023-03-30 17:09:30,41.600983,-90.567896,Davenport,IA,64.0,40.0,10.0,23.0,0.0,Mostly Cloudy / Windy
2,2023-03-21 16:47:30,41.603429,-93.77678,Clive,IA,48.0,66.0,10.0,15.0,0.0,Mostly Cloudy
2,2023-02-26 17:21:30,41.66325688,-91.24517798,West Branch,IA,52.0,50.0,10.0,9.0,0.0,Fair
2,2023-03-24 07:40:00,41.592157,-93.764093,West des Moines,IA,29.0,85.0,9.0,7.0,0.0,Fair
2,2023-03-25 03:55:30,40.994884000000006,-92.204381,Batavia,IA,32.0,100.0,1.0,12.0,0.13,Fog
2,2023-03-24 09:27:30,41.238922,-95.825211,Council Bluffs,IA,32.0,87.0,10.0,9.0,0.0,Fair
2,2023-02-27 07:42:00,41.592371,-93.691406,Des Moines,IA,47.0,93.0,10.0,10.0,0.01,Cloudy
2,2023-01-05 18:30:58,42.294323,-90.681482,Zwingle,IA,30.0,85.0,10.0,16.0,0.0,Cloudy
2,2023-01-18 20:51:00,41.69566,-92.669099,Grinnell,IA,34.0,97.0,0.75,13.0,0.08,Snow
2,2023-01-04 14:10:30,41.502617,-94.210332,Dexter,IA,29.0,84.0,4.0,18.0,0.0,Fair
2,2023-02-17 06:12:30,42.448981,-93.810099,Webster City,IA,5.0,92.0,10.0,3.0,0.0,Fair
2,2023-01-28 11:02:50,41.69616,-92.250626,Victor,IA,19.0,89.0,1.0,15.0,0.0,Light Snow
2,2023-01-27 23:57:36,41.680531,-92.951818,Newton,IA,19.0,100.0,10.0,6.0,0.0,Fair
2,2023-01-13 15:21:41,42.476591,-92.322036,Waterloo,IA,26.0,71.0,10.0,7.0,0.0,Cloudy
2,2023-01-04 07:52:45,42.06878,-91.337071,Martelle,IA,,,,,,
2,2023-01-28 09:27:15,41.643133,-93.519798,Des Moines,IA,16.0,93.0,3.0,10.0,0.0,Cloudy
2,2023-01-19 21:24:53,42.487082,-95.150754,Early,IA,25.0,93.0,10.0,16.0,0.0,Cloudy
4,2023-01-20 02:37:50,42.589815,-95.15128,Storm Lake,IA,23.0,100.0,10.0,16.0,0.0,Cloudy
2,2023-01-26 12:57:45,41.694324,-91.648731,Tiffin,IA,17.0,71.0,10.0,15.0,0.0,Fair
2,2023-01-21 20:53:22,41.079899,-93.781438,Osceola,IA,31.0,100.0,1.0,0.0,0.01,Light Snow
2,2023-01-05 00:24:06,42.354045,-93.57035,Ellsworth,IA,25.0,100.0,10.0,20.0,0.0,Cloudy
