Severity,Start_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition
2,2023-03-22 05:43:29,38.814247,-94.876936,Gardner,KS,47.0,100.0,1.0,8.0,0.0,Fog
2,2023-03-24 16:13:30,38.93509,-94.61429,Leawood,KS,48.0,66.0,9.0,15.0,0.0,Cloudy
2,2023-03-24 20:51:26,38.941401,-94.790641,Lenexa,KS,41.0,89.0,5.0,12.0,0.15,Rain
2,2023-02-28 08:30:07,39.056579,-94.679356,Kansas City,KS,39.0,73.0,10.0,8.0,0.0,Fair
2,2023-02-27 17:25:07,38.97103,-94.719062,Overland Park,KS,62.0,43.0,10.0,10.0,0.0,Fair
2,2023-02-26 05:38:00,39.096262,-94.624949,Kansas City,KS,35.0,100.0,6.0,8.0,0.0,Cloudy
2,2023-03-21 15:14:30,39.186924,-94.900219,Kansas City,KS,44.0,89.0,6.0,8.0,0.0,Cloudy
2,2023-03-20 08:04:00,38.915933,-94.767675,Olathe,KS,34.0,48.0,10.0,14.0,0.0,Fair
2,2023-03-31 16:36:00,39.031837,-94.688238,Shawnee,KS,69.0,33.0,10.0,25.0,0.0,Mostly Cloudy / Windy
2,2023-03-24 14:40:36,39.024967,-94.691055,Shawnee,KS,53.0,50.0,10.0,13.0,0.0,Mostly Cloudy
2,2023-03-19 07:00:00,39.065904,-96.29091,Alma,KS,10.0,80.0,10.0,0.0,0.0,Fair
2,2023-03-27 08:51:45,38.931051,-94.667219,Overland Park,KS,35.0,76.0,10.0,6.0,0.0,Fair
2,2023-03-24 15:19:20,38.949533,-94.738647,Lenexa,KS,48.0,63.0,10.0,17.0,0.0,Cloudy
2,2023-03-24 08:03:19,39.00767000000001,-94.693798,Shawnee,KS,38.0,73.0,10.0,7.0,0.0,Mostly Cloudy
2,2023-03-28 22:16:08,38.93343400000001,-94.620013,Leawood,KS,41.0,57.0,10.0,3.0,0.0,Fair
2,2023-03-21 07:37:35,38.941121,-94.839442,Olathe,KS,41.0,86.0,6.0,17.0,0.03,Light Rain
2,2023-03-21 09:53:13,39.099401,-94.620666,Kansas City,KS,42.0,85.0,5.0,9.0,0.01,Light Rain
2,2023-03-19 10:16:32,39.048296,-94.647113,Kansas City,KS,24.0,51.0,10.0,6.0,0.0,Fair
2,2023-03-24 20:29:46,39.110033,-94.681709,Kansas City,KS,42.0,89.0,3.0,5.0,0.13,Rain
2,2023-02-27 07:56:46,39.105751,-94.680457,Kansas City,KS,51.0,83.0,10.0,21.0,0.0,Cloudy / Windy
2,2023-03-27 16:57:00,38.908496,-94.776185,Olathe,KS,53.0,38.0,10.0,5.0,0.0,Fair
2,2023-03-28 17:33:30,38.932315,-94.645528,Leawood,KS,50.0,38.0,10.0,7.0,0.0,Fair
2,2023-03-24 19:38:56,39.1489327,-94.65402961,Kansas City,KS,42.0,89.0,3.0,7.0,0.15,Heavy Rain
2,2023-03-20 08:37:58,39.068708,-94.619766,Kansas City,KS,40.0,41.0,10.0,21.0,0.0,Fair / Windy
2,2023-03-27 17:22:41,38.888474,-94.789719,Olathe,KS,53.0,38.0,10.0,5.0,0.0,Fair
2,2023-03-31 12:54:49,38.941121,-94.852123,Lenexa,KS,79.0,40.0,10.0,32.0,0.0,Partly Cloudy / Windy
2,2023-03-24 14:40:36,39.027097,-94.690413,Shawnee,KS,53.0,50.0,10.0,13.0,0.0,Mostly Cloudy
2,2023-03-24 16:13:30,38.931193,-94.662723,Leawood,KS,48.0,66.0,9.0,15.0,0.0,Cloudy
2,2023-03-22 05:43:29,38.816758,-94.871367,Olathe,KS,47.0,97.0,1.0,7.0,0.0,Fog
2,2023-03-24 21:35:30,39.10606027,-94.73561168,Kansas City,KS,38.0,89.0,5.0,7.0,0.19,Rain
