,State,Year,Total_Count,Count_1,Count_2,Count_3,Count_4
0,AL,2016,135,0.0,74.0,25.0,36.0
1,AL,2017,2904,3.0,1310.0,1458.0,133.0
2,AL,2018,14100,10.0,8371.0,5564.0,155.0
3,AL,2019,19238,6.0,14161.0,4881.0,190.0
4,AL,2020,20185,114.0,15870.0,3916.0,285.0
5,AL,2021,23510,3.0,19396.0,3622.0,489.0
6,AL,2022,20054,545.0,16924.0,2076.0,509.0
7,AL,2023,918,0.0,887.0,0.0,31.0
8,AR,2016,26,0.0,17.0,4.0,5.0
9,AR,2017,134,0.0,46.0,35.0,53.0
10,AR,2018,598,0.0,241.0,162.0,195.0
11,AR,2019,991,0.0,556.0,238.0,197.0
12,AR,2020,3090,11.0,2705.0,91.0,283.0
13,AR,2021,7384,0.0,6552.0,55.0,777.0
14,AR,2022,9432,26.0,8154.0,92.0,1160.0
15,AR,2023,1125,0.0,968.0,0.0,157.0
16,AZ,2016,2770,0.0,1944.0,357.0,469.0
17,AZ,2017,12329,7.0,9053.0,2413.0,856.0
18,AZ,2018,22706,8.0,16760.0,5079.0,859.0
19,AZ,2019,24529,6.0,19496.0,4152.0,875.0
20,AZ,2020,29535,6702.0,19875.0,2225.0,733.0
21,AZ,2021,33075,3.0,30470.0,2118.0,484.0
22,AZ,2022,39423,663.0,36842.0,1207.0,711.0
23,AZ,2023,6242,0.0,6113.0,0.0,129.0
24,CA,2016,140452,99.0,86963.0,52179.0,1211.0
25,CA,2017,152748,88.0,93223.0,57829.0,1608.0
26,CA,2018,156898,41.0,96868.0,58392.0,1597.0
27,CA,2019,213455,18.0,168661.0,42796.0,1980.0
28,CA,2020,285532,5562.0,251646.0,25847.0,2477.0
29,CA,2021,341876,19.0,318194.0,22396.0,1267.0
30,CA,2022,375913,4457.0,355953.0,12375.0,3128.0
31,CA,2023,74559,0.0,74325.0,0.0,234.0
32,CO,2016,1324,0.0,701.0,214.0,409.0
33,CO,2017,7105,2.0,4455.0,1955.0,693.0
34,CO,2018,14149,1.0,8127.0,5216.0,805.0
35,CO,2019,17620,2.0,7983.0,8355.0,1280.0
36,CO,2020,13889,516.0,6701.0,5859.0,813.0
37,CO,2021,11576,1.0,7818.0,2947.0,810.0
38,CO,2022,20930,448.0,16497.0,1760.0,2225.0
39,CO,2023,4292,0.0,3823.0,0.0,469.0
40,CT,2016,4210,7.0,2108.0,1760.0,335.0
41,CT,2017,6742,4.0,3096.0,3150.0,492.0
42,CT,2018,6421,4.0,2850.0,3115.0,452.0
43,CT,2019,5457,2.0,2616.0,2436.0,403.0
44,CT,2020,9341,5.0,6413.0,2134.0,789.0
45,CT,2021,16172,0.0,13235.0,2279.0,658.0
46,CT,2022,20171,50.0,17730.0,1495.0,896.0
47,CT,2023,2491,0.0,2344.0,0.0,147.0
48,DC,2016,454,0.0,263.0,133.0,58.0
49,DC,2017,763,0.0,458.0,234.0,71.0
50,DC,2018,955,0.0,552.0,270.0,133.0
51,DC,2019,1487,1.0,1114.0,231.0,141.0
52,DC,2020,2632,43.0,2034.0,250.0,305.0
53,DC,2021,4685,0.0,4601.0,38.0,46.0
54,DC,2022,6959,99.0,6776.0,21.0,63.0
55,DC,2023,695,0.0,691.0,0.0,4.0
56,DE,2016,281,0.0,111.0,67.0,103.0
57,DE,2017,891,0.0,642.0,85.0,164.0
58,DE,2018,1644,2.0,1318.0,156.0,168.0
59,DE,2019,1620,1.0,1388.0,92.0,139.0
60,DE,2020,2478,8.0,1917.0,262.0,291.0
61,DE,2021,3941,0.0,3616.0,31.0,294.0
62,DE,2022,3088,223.0,2473.0,22.0,370.0
63,DE,2023,154,0.0,131.0,0.0,23.0
64,FL,2016,37060,15.0,26076.0,10187.0,782.0
65,FL,2017,60706,25.0,40071.0,19071.0,1539.0
66,FL,2018,65781,16.0,40010.0,23665.0,2090.0
67,FL,2019,60313,15.0,38558.0,18719.0,3021.0
68,FL,2020,130362,2951.0,109620.0,15560.0,2231.0
69,FL,2021,240608,11.0,227755.0,11274.0,1568.0
70,FL,2022,263119,4050.0,251875.0,5589.0,1605.0
71,FL,2023,22243,0.0,21930.0,0.0,313.0
72,GA,2016,13249,5.0,5146.0,7291.0,807.0
73,GA,2017,22071,9.0,8319.0,12143.0,1600.0
74,GA,2018,24632,6.0,10008.0,12630.0,1988.0
75,GA,2019,23718,7.0,11155.0,10347.0,2209.0
76,GA,2020,23427,381.0,13082.0,8219.0,1745.0
77,GA,2021,20551,3.0,12819.0,6660.0,1069.0
78,GA,2022,33129,596.0,25969.0,3955.0,2609.0
79,GA,2023,8457,0.0,7708.0,0.0,749.0
80,IA,2016,2005,2.0,1041.0,771.0,191.0
81,IA,2017,3016,0.0,1375.0,1307.0,334.0
82,IA,2018,2483,0.0,1072.0,1333.0,78.0
83,IA,2019,2842,1.0,1191.0,1416.0,234.0
84,IA,2020,3649,3.0,2301.0,1027.0,318.0
85,IA,2021,6951,1.0,5616.0,730.0,604.0
86,IA,2022,4891,51.0,4190.0,370.0,280.0
87,IA,2023,470,0.0,440.0,0.0,30.0
88,ID,2016,419,0.0,320.0,51.0,48.0
89,ID,2017,368,0.0,238.0,48.0,82.0
90,ID,2018,419,0.0,377.0,40.0,2.0
91,ID,2019,554,0.0,441.0,50.0,63.0
92,ID,2020,2319,0.0,2171.0,24.0,124.0
93,ID,2021,4763,0.0,4551.0,10.0,202.0
94,ID,2022,2264,1.0,2236.0,2.0,25.0
95,ID,2023,270,0.0,270.0,0.0,0.0
96,IL,2016,17079,1.0,12463.0,4256.0,359.0
97,IL,2017,25310,8.0,17450.0,7104.0,748.0
98,IL,2018,24088,6.0,16524.0,6767.0,791.0
99,IL,2019,19969,0.0,12493.0,6602.0,874.0
100,IL,2020,25007,252.0,9870.0,14216.0,669.0
101,IL,2021,28454,0.0,13843.0,14447.0,164.0
102,IL,2022,24610,1353.0,18383.0,4356.0,518.0
103,IL,2023,4441,0.0,4247.0,0.0,194.0
104,IN,2016,1623,0.0,739.0,414.0,470.0
105,IN,2017,6947,4.0,4565.0,1737.0,641.0
106,IN,2018,13708,10.0,9469.0,3533.0,696.0
107,IN,2019,7772,3.0,3939.0,3145.0,685.0
108,IN,2020,7806,43.0,4014.0,3197.0,552.0
109,IN,2021,13376,1.0,9948.0,2277.0,1150.0
110,IN,2022,14499,266.0,11411.0,1574.0,1248.0
111,IN,2023,1493,0.0,1330.0,0.0,163.0
112,KS,2016,762,0.0,599.0,96.0,67.0
113,KS,2017,1737,0.0,925.0,721.0,91.0
114,KS,2018,2406,0.0,945.0,1359.0,102.0
115,KS,2019,1995,0.0,804.0,1072.0,119.0
116,KS,2020,2644,5.0,1433.0,1114.0,92.0
117,KS,2021,3970,0.0,3216.0,617.0,137.0
118,KS,2022,6525,29.0,5972.0,342.0,182.0
119,KS,2023,953,0.0,943.0,0.0,10.0
120,KY,2016,1068,1.0,663.0,175.0,229.0
121,KY,2017,3282,2.0,1533.0,1594.0,153.0
122,KY,2018,7952,3.0,3396.0,4375.0,178.0
123,KY,2019,6832,1.0,3848.0,2782.0,201.0
124,KY,2020,5568,34.0,3914.0,1473.0,147.0
125,KY,2021,4765,0.0,3250.0,1359.0,156.0
126,KY,2022,2713,250.0,1583.0,718.0,162.0
127,KY,2023,74,0.0,68.0,0.0,6.0
128,LA,2016,849,0.0,570.0,112.0,167.0
129,LA,2017,12233,2.0,9939.0,2148.0,144.0
130,LA,2018,20430,11.0,16131.0,4002.0,286.0
131,LA,2019,18980,6.0,15039.0,3631.0,304.0
132,LA,2020,26342,1248.0,21206.0,3432.0,456.0
133,LA,2021,33999,8.0,30850.0,2755.0,386.0
134,LA,2022,33770,1259.0,30817.0,1495.0,199.0
135,LA,2023,3098,0.0,3095.0,0.0,3.0
136,MA,2016,5200,5.0,3469.0,1686.0,40.0
137,MA,2017,9046,3.0,5549.0,3435.0,59.0
138,MA,2018,9427,5.0,5334.0,4007.0,81.0
139,MA,2019,9349,2.0,5562.0,3712.0,73.0
140,MA,2020,11101,169.0,7801.0,2963.0,168.0
141,MA,2021,11464,1.0,9548.0,1840.0,75.0
142,MA,2022,6281,1315.0,3947.0,980.0,39.0
143,MA,2023,128,0.0,116.0,0.0,12.0
144,MD,2016,7542,15.0,3323.0,3601.0,603.0
145,MD,2017,12341,8.0,5132.0,5673.0,1528.0
146,MD,2018,11019,3.0,4890.0,4896.0,1230.0
147,MD,2019,12462,7.0,6955.0,4183.0,1317.0
148,MD,2020,24351,275.0,17918.0,4159.0,1999.0
149,MD,2021,32153,2.0,28408.0,1900.0,1843.0
150,MD,2022,37379,207.0,33920.0,1038.0,2214.0
151,MD,2023,3170,0.0,3012.0,0.0,158.0
152,ME,2016,135,0.0,84.0,8.0,43.0
153,ME,2017,591,0.0,551.0,20.0,20.0
154,ME,2018,703,0.0,685.0,15.0,3.0
155,ME,2019,636,1.0,579.0,25.0,31.0
156,ME,2020,281,0.0,216.0,57.0,8.0
157,ME,2021,243,0.0,115.0,115.0,13.0
158,ME,2022,109,3.0,29.0,76.0,1.0
159,MI,2016,16652,6.0,10828.0,5197.0,621.0
160,MI,2017,27469,5.0,15903.0,10386.0,1175.0
161,MI,2018,24325,12.0,13739.0,9192.0,1382.0
162,MI,2019,20360,6.0,12208.0,6597.0,1549.0
163,MI,2020,15763,32.0,11234.0,3679.0,818.0
164,MI,2021,23678,32.0,19298.0,3848.0,500.0
165,MI,2022,28975,955.0,25106.0,1589.0,1325.0
166,MI,2023,4969,0.0,4704.0,0.0,265.0
167,MN,2016,2567,0.0,2339.0,178.0,50.0
168,MN,2017,10434,1.0,4627.0,5707.0,99.0
169,MN,2018,20227,3.0,8499.0,11638.0,87.0
170,MN,2019,29607,5.0,21659.0,7825.0,118.0
171,MN,2020,39193,33.0,35716.0,3269.0,175.0
172,MN,2021,42753,2.0,41517.0,1060.0,174.0
173,MN,2022,38354,445.0,37553.0,207.0,149.0
174,MN,2023,8949,0.0,8938.0,0.0,11.0
