,State,City,Year,Count,Mean_Severity,High Severity Count
0,AL,Abbeville,2019,6,2.0,0.0
1,AL,Abbeville,2020,6,2.0,0.0
2,AL,Abbeville,2021,19,2.210526315789474,0.0
3,AL,Abbeville,2022,6,1.8333333333333333,0.0
4,AL,Adamsville,2017,3,3.0,3.0
5,AL,Adamsville,2018,2,2.0,0.0
6,AL,Adamsville,2019,4,2.25,1.0
7,AL,Adamsville,2020,6,2.1666666666666665,2.0
8,AL,Adamsville,2021,5,2.0,0.0
9,AL,Adamsville,2022,4,2.0,0.0
10,AL,Adamsville,2023,1,2.0,0.0
11,AL,Addison,2019,4,2.0,0.0
12,AL,Addison,2020,4,2.0,0.0
13,AL,Addison,2022,2,2.0,0.0
14,AL,Addison,2023,2,2.0,0.0
15,AL,Adger,2020,1,2.0,0.0
16,AL,Alabaster,2017,10,2.7,7.0
17,AL,Alabaster,2018,60,2.6,34.0
18,AL,Alabaster,2019,79,2.6835443037974684,52.0
19,AL,Alabaster,2020,82,2.402439024390244,31.0
20,AL,Alabaster,2021,158,2.2911392405063293,40.0
21,AL,Alabaster,2022,159,2.2264150943396226,32.0
22,AL,Alabaster,2023,19,2.0,0.0
23,AL,Albertville,2018,2,2.0,0.0
24,AL,Albertville,2019,19,2.0,0.0
25,AL,Albertville,2020,9,2.0,0.0
26,AL,Albertville,2021,7,2.2857142857142856,0.0
27,AL,Albertville,2022,11,2.0,0.0
28,AL,Alexander City,2017,5,2.0,0.0
29,AL,Alexander City,2018,12,2.1666666666666665,2.0
30,AL,Alexander City,2019,12,2.1666666666666665,0.0
31,AL,Alexander City,2020,14,2.5714285714285716,0.0
32,AL,Alexander City,2021,10,2.0,0.0
33,AL,Alexander City,2022,5,2.0,0.0
34,AL,Alexandria,2019,3,2.0,0.0
35,AL,Alexandria,2021,6,2.0,0.0
36,AL,Alexandria,2022,8,2.375,0.0
37,AL,Aliceville,2018,5,2.4,2.0
38,AL,Aliceville,2019,2,3.0,0.0
39,AL,Aliceville,2021,2,2.0,0.0
40,AL,Aliceville,2022,4,2.0,0.0
41,AL,Alpine,2020,2,4.0,0.0
42,AL,Alpine,2022,2,1.5,0.0
43,AL,Altoona,2017,4,2.0,0.0
44,AL,Altoona,2018,38,2.026315789473684,1.0
45,AL,Altoona,2019,64,2.0625,4.0
46,AL,Altoona,2020,46,2.0217391304347827,1.0
47,AL,Altoona,2021,57,2.0701754385964914,0.0
48,AL,Altoona,2022,49,1.8979591836734695,0.0
49,AL,Altoona,2023,1,2.0,0.0
50,AL,Andalusia,2018,5,2.0,0.0
51,AL,Andalusia,2019,13,2.0,0.0
52,AL,Andalusia,2020,12,2.0,0.0
53,AL,Andalusia,2021,19,2.263157894736842,1.0
54,AL,Andalusia,2022,10,2.2,0.0
55,AL,Anderson,2019,1,2.0,0.0
56,AL,Anderson,2020,3,2.0,0.0
57,AL,Anderson,2022,1,2.0,0.0
58,AL,Anniston,2017,4,2.5,2.0
59,AL,Anniston,2018,18,2.611111111111111,11.0
60,AL,Anniston,2019,31,2.3870967741935485,12.0
61,AL,Anniston,2020,42,2.3333333333333335,12.0
62,AL,Anniston,2021,60,2.3666666666666667,16.0
63,AL,Anniston,2022,44,2.090909090909091,2.0
64,AL,Anniston,2023,5,2.0,0.0
65,AL,Arab,2018,7,2.142857142857143,1.0
66,AL,Arab,2019,9,2.0,0.0
67,AL,Arab,2020,16,2.0,0.0
68,AL,Arab,2021,17,2.0,0.0
69,AL,Arab,2022,6,2.0,0.0
70,AL,Ardmore,2018,6,2.3333333333333335,0.0
71,AL,Ardmore,2019,32,2.1875,4.0
72,AL,Ardmore,2020,37,2.2972972972972974,7.0
73,AL,Ardmore,2021,23,2.0869565217391304,2.0
74,AL,Ardmore,2022,23,2.130434782608696,3.0
75,AL,Ariton,2017,2,3.5,1.0
76,AL,Ariton,2018,2,2.0,0.0
77,AL,Ariton,2019,5,2.0,0.0
78,AL,Ariton,2020,7,2.0,0.0
79,AL,Ariton,2021,11,2.0,0.0
80,AL,Ariton,2022,5,2.0,0.0
81,AL,Arlington,2022,2,2.0,0.0
82,AL,Ashford,2019,5,2.0,0.0
83,AL,Ashford,2020,4,2.0,0.0
84,AL,Ashford,2021,4,2.0,0.0
85,AL,Ashford,2022,2,2.0,0.0
86,AL,Ashland,2019,1,2.0,0.0
87,AL,Ashland,2022,2,3.0,0.0
88,AL,Ashville,2016,1,2.0,0.0
89,AL,Ashville,2018,11,2.8181818181818183,9.0
90,AL,Ashville,2019,8,2.75,2.0
91,AL,Ashville,2020,7,2.2857142857142856,2.0
92,AL,Ashville,2021,18,2.4444444444444446,4.0
93,AL,Ashville,2022,9,2.111111111111111,1.0
94,AL,Ashville,2023,4,2.5,0.0
95,AL,Athens,2016,1,2.0,0.0
96,AL,Athens,2017,3,2.3333333333333335,1.0
97,AL,Athens,2018,35,2.257142857142857,9.0
98,AL,Athens,2019,308,2.061688311688312,19.0
99,AL,Athens,2020,341,2.06158357771261,21.0
100,AL,Athens,2021,302,2.0927152317880795,22.0
101,AL,Athens,2022,230,2.0217391304347827,9.0
102,AL,Atmore,2016,1,2.0,0.0
103,AL,Atmore,2017,8,2.375,3.0
104,AL,Atmore,2018,23,2.3043478260869565,7.0
105,AL,Atmore,2019,18,2.3333333333333335,6.0
106,AL,Atmore,2020,27,2.4444444444444446,10.0
107,AL,Atmore,2021,66,2.3484848484848486,3.0
108,AL,Atmore,2022,65,2.2153846153846155,5.0
109,AL,Atmore,2023,1,2.0,0.0
110,AL,Attalla,2016,3,4.0,0.0
111,AL,Attalla,2017,5,3.6,2.0
112,AL,Attalla,2018,9,2.5555555555555554,5.0
113,AL,Attalla,2019,34,2.5294117647058822,18.0
114,AL,Attalla,2020,17,2.6470588235294117,5.0
115,AL,Attalla,2021,21,2.619047619047619,7.0
116,AL,Attalla,2022,24,2.4583333333333335,3.0
117,AL,Attalla,2023,1,2.0,0.0
118,AL,Auburn,2016,1,2.0,0.0
119,AL,Auburn,2017,6,2.3333333333333335,2.0
120,AL,Auburn,2018,40,2.825,25.0
121,AL,Auburn,2019,61,2.3278688524590163,20.0
122,AL,Auburn,2020,68,2.6029411764705883,37.0
123,AL,Auburn,2021,95,2.5473684210526315,44.0
124,AL,Auburn,2022,60,2.316666666666667,17.0
125,AL,Autaugaville,2019,6,2.1666666666666665,1.0
126,AL,Autaugaville,2020,17,2.2941176470588234,1.0
127,AL,Autaugaville,2021,10,2.0,0.0
128,AL,Autaugaville,2022,15,2.2666666666666666,0.0
129,AL,Axis,2017,1,2.0,0.0
130,AL,Axis,2018,12,2.0,0.0
131,AL,Axis,2019,5,2.2,1.0
132,AL,Axis,2020,12,2.1666666666666665,0.0
